image_name,insect_group,split,total length,head width,head length,inter ocular distance,right antenna length,left antenna length,thorax width,thorax length,abdomen width,abdomen length,intertegular distance,left hind wing length,right hind wing length,left hind wing width,right hind wing width,left fore wing length,right fore wing length,left fore wing width,right fore wing width,left hind leg length,left hind leg femur length,left hind leg tibia length,left hind leg tarsus length,right hind leg length,right hind leg femur length,right hind leg tibia length,right hind leg tarsus length
EB6.01I.jpg,coleoptera,train,162.42,46.43,22.3,23.03,46.21,31.72,38.4,29.78,47.52,110.34,18.64,,,,,106.97,104.33,21.49,24.98,,,41.5,39.75,,,38.63,37.85
EB6.01L.jpg,coleoptera,train,155.73,45.3,19.68,20.68,48.87,43.29,39.4,33.26,44.46,102.78,18.11,,,,,99.72,97.29,18.33,18.2,,,39.32,38.8,,,50.71,41.41
EB6.01M.jpg,coleoptera,train,151.19,40.12,17.41,20.99,35.68,23.68,35.12,30.65,42.18,103.14,18.67,,,,,96.7,98.49,16.16,19.95,,,35.85,30.75,,,39.69,30.49
EB6.01O.jpg,coleoptera,train,143.46,37.98,20.59,19.93,33.13,35.19,33.89,28.55,46.25,94.32,13.3,,,,,87.64,83.51,16.19,19.96,,,35.09,27.5,,,27.45,24.12
EB6.01R.jpg,coleoptera,train,152.32,41.06,18.74,19.62,39.15,38.15,28.86,33.75,46.25,99.84,19.37,,,,,95.18,93.23,16.48,29.11,,,36.03,34.66,,,31.53,30.29
EB6.01S.jpg,coleoptera,train,151.68,37.68,19.5,15.59,31.03,37.25,36.82,34.6,47.79,97.57,14.55,,,,,92.33,92.29,19.69,17.13,,,33.8,32.56,,,30.36,30.35
EB6.01T.jpg,coleoptera,train,153.45,43.64,20.74,20.32,49.76,41.56,39.11,27.98,48.2,104.72,18.48,,,,,102.54,100.29,20.1,27.49,,,38.01,36.16,,,36.42,23.93
EB6.01V.jpg,coleoptera,train,158.25,45.17,23.75,24.44,42.94,35.52,41.65,27.65,49.85,106.85,20.54,,,,,103.98,102.21,17.53,31.01,,,36.4,34.98,,,51.85,22.13
EB6.01Z.jpg,coleoptera,train,150.68,40.6,19.08,19.82,35.03,30.98,36.23,34.82,50.04,96.78,16.77,,,,,96.98,95.0,16.74,29.13,,,34.97,38.36,,,37.1,29.57
EB6.021.jpg,coleoptera,train,152.43,40.55,21.74,20.32,29.45,39.36,35.49,28.35,45.41,102.35,15.26,,,,,94.08,90.57,15.95,27.19,,,35.33,34.44,,,39.95,36.1
EB6.025.jpg,coleoptera,train,145.65,41.13,21.86,17.45,40.74,36.4,39.73,24.82,45.95,98.97,17.49,,,,,95.1,95.53,19.54,24.23,,,38.04,33.7,,,37.3,34.08
EB6.028.jpg,coleoptera,train,238.58,59.1,30.54,28.18,75.26,,56.59,55.06,91.01,152.97,29.97,,,,,150.8,149.86,31.15,59.07,,,71.77,54.72,,,53.21,49.73
EB6.02A.jpg,coleoptera,train,254.03,59.1,36.06,29.26,72.16,,55.66,61.02,86.62,156.94,26.7,,,,,157.88,156.09,20.34,62.83,,,76.1,54.53,,,61.27,55.37
EB6.02E.jpg,coleoptera,train,255.98,59.37,35.81,21.46,67.1,81.12,57.89,61.26,89.93,158.91,26.37,,,,,160.28,157.96,28.49,59.98,,,76.95,45.25,,,75.14,59.54
EB6.02F.jpg,coleoptera,train,236.48,54.39,31.16,24.36,64.9,55.72,45.24,59.77,80.72,145.54,27.97,,,,,145.9,146.31,33.78,42.03,,,69.4,55.72,,,64.15,46.51
EB6.02I.jpg,coleoptera,train,193.33,44.04,23.98,22.51,59.67,58.39,41.19,45.49,70.97,123.85,22.95,,,,,121.16,121.55,20.5,50.46,,,57.7,45.93,,,51.23,41.38
EB6.02J.jpg,coleoptera,train,218.06,50.84,20.06,21.61,77.34,64.47,52.13,54.79,83.26,143.2,28.61,,,,,142.75,142.41,25.45,58.5,,,,,,,,50.11
EB6.02O.jpg,coleoptera,train,224.47,56.08,39.62,26.6,63.3,59.44,48.5,48.47,82.68,136.38,27.77,,,,,131.7,132.08,24.82,55.66,,,66.39,51.2,,,52.6,50.59
EB6.02P.jpg,coleoptera,train,221.54,51.24,42.44,28.38,60.25,66.53,46.54,45.63,81.89,133.47,28.65,,,,,132.37,129.96,24.23,55.09,,,64.28,53.78,,,58.72,29.06
EB6.02R.jpg,coleoptera,train,222.77,44.53,39.36,21.05,53.16,40.56,43.58,46.81,77.32,136.6,21.3,,,,,133.84,135.83,17.3,59.45,,,58.67,45.22,,,63.13,34.45
EB6.02W.jpg,coleoptera,train,229.6,44.51,35.72,25.0,82.66,106.24,52.72,45.25,71.06,148.63,27.49,,,,,142.77,143.56,21.34,46.99,,,65.85,54.04,,,62.04,63.57
EB6.02X.jpg,coleoptera,train,239.86,46.63,30.82,20.69,92.71,113.37,60.47,51.83,79.05,157.21,24.39,,,,,154.83,153.92,20.07,,,,69.88,60.97,,,59.32,52.45
EB6.02Z.jpg,coleoptera,train,241.58,40.96,34.21,19.71,80.15,108.4,56.54,49.65,77.73,157.72,23.29,,,,,135.15,153.85,19.19,47.81,,,68.33,59.78,,,45.84,61.45
EB6.030.jpg,coleoptera,train,182.48,25.94,27.77,14.92,43.55,33.24,34.46,48.71,45.44,106.0,13.19,,,,,100.37,99.95,11.59,30.36,,,,,,,,26.43
EB6.031.jpg,coleoptera,train,172.44,27.93,25.71,21.76,37.38,40.41,36.59,42.17,42.66,104.56,12.99,,,,,94.74,94.85,11.72,29.02,,,20.71,22.33,,,,21.7
EB6.032.jpg,coleoptera,train,183.33,27.06,30.51,20.71,36.4,35.5,37.94,45.16,45.76,107.66,16.94,,,,,101.47,101.17,15.29,29.3,,,,,,,,23.67
EB6.033.jpg,coleoptera,train,181.7,29.16,22.26,15.36,41.21,39.74,42.12,49.86,50.37,109.58,14.38,,,,,103.12,102.24,15.49,31.71,,,,,,,,23.45
EB6.034.jpg,coleoptera,train,188.36,27.76,30.76,13.88,34.91,43.6,34.9,50.59,42.47,107.01,14.62,,,,,100.48,100.35,15.23,23.51,,,28.79,25.98,,,23.88,27.46
EB6.037.jpg,coleoptera,train,179.61,28.22,29.03,14.3,32.25,35.3,34.3,46.64,42.29,103.95,12.43,,,,,91.35,91.39,9.4,23.88,,,,,,,,22.16
EB6.038.jpg,coleoptera,train,178.26,27.42,31.92,22.0,,,37.85,44.03,44.62,102.32,15.65,,,,,98.0,98.27,13.77,27.44,,,,,,,16.23,14.45
EB6.03A.jpg,coleoptera,train,187.44,25.9,34.16,10.4,35.85,37.73,33.84,48.56,46.97,104.71,13.19,,,,,98.97,100.09,11.69,30.74,,,21.36,20.55,,,18.31,24.57
EB6.03B.jpg,coleoptera,train,187.02,29.34,23.57,18.86,43.71,34.67,38.83,53.21,45.33,110.24,20.17,,,,,106.54,105.47,12.42,29.73,,,26.97,21.11,,,21.58,24.08
EB6.03D.jpg,coleoptera,train,126.44,19.72,12.94,8.97,24.0,28.76,26.92,39.06,38.5,74.44,5.04,,,,,69.72,69.43,11.6,19.47,,,15.73,18.8,,,18.57,18.68
EB6.03G.jpg,coleoptera,train,143.13,22.51,23.11,11.23,24.04,22.53,30.2,40.7,41.66,79.31,9.25,,,,,35.63,76.19,45.43,24.33,,,19.18,17.45,,,,12.93
EB6.03H.jpg,coleoptera,train,140.83,19.13,23.44,10.69,26.61,22.13,29.18,38.55,36.1,78.83,10.97,,,,,74.7,72.18,10.3,22.9,,,,,,,,
EB6.03K.jpg,coleoptera,train,128.05,18.88,21.6,11.31,20.88,28.54,26.91,36.12,34.42,70.33,9.59,,,,,68.29,67.46,9.98,23.28,,,,,,,17.63,14.29
EB6.03L.jpg,coleoptera,train,132.74,18.91,23.57,11.95,18.85,29.39,27.53,34.92,36.18,74.25,11.87,,,,,67.77,67.69,14.25,21.13,,,,,,,,20.09
EB6.03O.jpg,coleoptera,train,124.65,17.78,22.08,10.53,19.8,15.58,24.83,32.34,34.39,70.23,9.41,,,,,65.94,65.06,11.67,21.7,,,,,,,,18.82
EB6.03P.jpg,coleoptera,train,130.8,17.24,20.5,9.56,25.44,27.51,26.17,34.9,33.48,75.4,11.15,,,,,73.3,72.8,14.94,17.46,,,,17.87,,,17.87,16.41
EB6.03Q.jpg,coleoptera,train,106.34,16.09,13.15,7.74,22.66,25.47,21.27,29.96,29.46,63.23,9.08,,,,,60.52,60.67,9.75,17.98,,,,15.17,,,,
EB6.03R.jpg,coleoptera,train,95.55,12.29,16.91,5.16,16.08,16.93,18.25,26.72,23.61,51.92,8.9,,,,,48.42,48.77,8.47,14.03,,,,,,,,12.5
EB6.03T.jpg,coleoptera,train,99.95,14.25,18.51,6.45,11.36,26.39,21.18,29.29,27.57,52.15,7.42,,,,,50.62,48.99,10.06,16.47,,,,14.74,,,16.68,16.26
EB6.03W.jpg,coleoptera,train,96.66,13.7,13.48,5.67,16.09,25.5,21.04,28.35,28.87,54.84,10.53,,,,,53.02,52.58,10.09,18.1,,,,13.69,,,16.39,11.99
EB6.03X.jpg,coleoptera,train,99.56,14.11,18.1,8.01,18.96,25.21,20.69,28.48,26.09,52.98,6.96,,,,,51.19,50.23,10.07,15.83,,,,,,,16.48,12.02
EB6.03Y.jpg,coleoptera,train,78.74,10.68,11.45,4.28,21.66,20.49,16.91,23.83,19.8,43.47,6.47,,,,,40.89,40.36,4.67,12.91,,,,,,,,
EB6.03Z.jpg,coleoptera,train,80.59,11.81,14.94,4.57,13.86,17.03,19.08,24.59,21.58,41.06,6.36,,,,,39.01,38.87,6.36,12.5,,,,,,,,12.82
EB6.041.jpg,coleoptera,train,83.72,10.99,13.58,6.37,15.42,17.15,17.65,24.34,23.2,45.79,7.54,,,,,20.4,42.37,24.33,15.08,,,,,,,,
EB6.042.jpg,coleoptera,train,82.21,12.21,13.33,7.02,19.97,21.22,18.67,23.12,22.63,45.76,7.88,,,,,43.18,42.0,6.17,14.44,,,,,,,,13.86
EB6.049.jpg,coleoptera,train,83.16,11.6,12.56,6.23,19.37,16.93,20.48,25.09,22.34,45.5,5.59,,,,,44.37,43.82,7.03,13.85,,,,10.02,,,,
EB6.04D.jpg,coleoptera,train,92.21,14.06,13.44,5.36,15.9,21.08,19.38,29.78,25.84,48.99,8.71,,,,,24.64,48.09,25.01,15.81,,,,,,,13.42,10.27
EB6.04G.jpg,coleoptera,train,227.6,33.42,40.67,21.38,58.3,37.62,49.73,52.21,70.0,134.73,19.09,,,,,130.21,125.95,20.81,44.77,,,40.33,29.88,,,40.33,30.08
EB6.04H.jpg,coleoptera,train,189.14,35.56,34.74,18.18,55.81,45.04,39.67,41.66,61.25,112.74,17.0,,,,,111.78,113.38,17.38,37.31,,,43.81,35.68,,,41.03,34.25
EB6.04K.jpg,coleoptera,train,139.18,30.23,25.36,13.21,31.34,47.18,27.83,28.96,42.13,84.86,15.12,,,,,82.49,83.11,10.59,29.33,,,33.78,30.3,,,28.27,30.79
EB6.04L.jpg,coleoptera,train,128.73,25.68,25.61,15.05,39.98,48.57,28.23,27.51,41.2,75.61,12.46,,,,,75.65,75.79,12.05,26.49,,,37.94,25.57,,,,30.1
EB6.04P.jpg,coleoptera,train,138.71,29.59,26.55,6.81,45.91,51.19,26.81,27.79,43.13,84.38,8.1,,,,,80.42,79.44,10.85,30.53,,,31.74,30.42,,,,17.18
EB6.04Q.jpg,coleoptera,train,139.09,32.29,23.8,12.35,38.36,45.98,28.86,31.0,43.11,84.29,11.43,,,,,80.22,77.09,10.8,31.6,,,33.58,31.28,,,37.32,21.49
EB6.04U.jpg,coleoptera,train,164.65,33.63,26.42,12.08,63.39,65.98,36.46,27.06,58.71,111.18,23.49,,,,,106.86,106.04,17.67,39.74,,,41.48,38.85,,,41.49,41.72
EB6.04V.jpg,coleoptera,train,161.35,33.64,30.85,14.31,65.52,53.05,37.07,26.33,59.41,104.17,20.45,,,,,49.68,102.48,56.69,38.88,,,42.83,38.52,,,31.84,35.73
EB6.04X.jpg,coleoptera,train,170.83,29.02,24.87,12.49,56.3,53.93,32.46,32.2,57.01,113.76,24.47,,,,,108.97,111.1,15.33,39.39,,,47.62,38.91,,,39.62,35.9
EB6.051.jpg,coleoptera,train,172.53,30.76,26.38,12.41,70.38,48.87,35.55,34.79,56.67,111.36,23.97,,,,,108.99,107.46,13.67,40.55,,,45.61,28.19,,,38.74,40.12
EB6.053.jpg,coleoptera,train,184.26,31.26,28.78,13.05,74.07,66.97,36.4,36.4,62.84,119.08,19.99,,,,,115.91,113.71,17.18,42.81,,,,,,,37.65,35.82
EB6.054.jpg,coleoptera,train,190.67,34.34,27.58,13.93,58.56,82.06,41.39,40.07,62.9,123.03,23.42,,,,,121.48,117.86,18.01,43.44,,,49.69,36.43,,,39.78,39.47
EB6.056.jpg,coleoptera,train,114.78,23.96,14.69,3.94,39.5,47.82,26.2,25.7,35.32,74.4,12.16,,,,,71.64,70.79,11.65,19.39,,,,,,,,22.78
EB6.057.jpg,coleoptera,train,112.77,21.37,13.36,9.59,39.45,44.61,26.7,26.31,35.6,73.1,10.17,,,,,69.14,69.94,10.81,21.36,,,,,,,21.54,24.01
EB6.059.jpg,coleoptera,train,113.94,22.33,20.67,8.22,28.17,48.84,27.46,26.0,37.11,67.26,11.02,,,,,64.3,62.1,11.3,25.64,,,26.74,20.96,,,,24.73
EB6.05D.jpg,coleoptera,train,112.72,20.92,20.65,9.15,44.16,41.48,26.61,22.44,34.73,69.63,11.84,,,,,68.94,68.31,11.07,22.02,,,25.94,21.05,,,25.42,22.95
EB6.05F.jpg,coleoptera,train,120.31,23.95,21.84,7.82,39.45,51.84,28.72,26.0,34.11,72.46,13.33,,,,,72.88,71.03,12.47,20.93,,,27.94,24.97,,,,
EB6.05I.jpg,coleoptera,train,119.58,22.95,20.3,9.73,42.89,44.45,26.77,26.18,38.41,73.11,13.37,,,,,69.99,69.03,13.16,23.11,,,26.71,24.5,,,25.24,23.58
EB6.05K.jpg,coleoptera,train,107.27,19.47,19.75,6.95,30.68,36.24,22.44,21.19,37.31,66.32,11.15,,,,,64.89,65.75,13.96,23.67,,,20.51,20.03,,,,23.25
EB6.05O.jpg,coleoptera,train,544.69,118.22,93.99,60.66,227.57,233.11,151.32,109.0,213.54,341.71,79.93,,,,,336.83,331.25,104.54,106.8,,,116.11,85.21,,,122.49,92.0
EB6.05P.jpg,coleoptera,train,574.24,123.35,95.42,66.9,252.12,260.49,163.05,116.16,230.97,362.66,88.77,,,,,356.37,357.28,114.83,112.62,,,117.17,105.2,,,127.41,86.62
EB6.05R.jpg,coleoptera,train,542.17,116.68,90.17,67.22,230.66,245.24,150.72,110.62,207.19,341.38,68.23,,,,,340.36,339.32,101.34,103.62,,,129.66,95.27,,,125.71,101.39
EB6.05S.jpg,coleoptera,train,634.07,133.41,111.38,90.23,272.07,264.36,163.78,124.7,260.71,397.99,93.66,,,,,404.21,405.39,132.28,125.05,,,150.83,121.66,,,146.06,123.11
EB6.05T.jpg,coleoptera,train,586.88,127.03,92.57,85.51,263.46,272.2,148.14,107.7,233.49,386.6,85.35,,,,,372.45,367.95,117.42,,,,140.27,122.51,,,134.36,124.78
EB6.05W.jpg,coleoptera,train,594.17,127.42,102.73,90.51,239.1,247.47,152.84,108.07,237.14,383.38,91.68,,,,,373.73,386.33,106.27,127.46,,,140.86,93.58,,,135.63,101.74
EB6.060.jpg,coleoptera,train,141.45,24.21,25.49,13.81,57.65,73.62,27.48,28.64,47.72,87.33,16.19,,,,,85.14,86.1,10.57,28.83,,,31.46,27.11,,,,27.53
EB6.061.jpg,coleoptera,train,171.05,28.06,28.75,14.62,63.11,71.31,30.62,35.15,54.17,107.15,15.43,,,,,103.3,102.56,12.39,38.14,,,38.44,30.9,,,,29.17
EB6.062.jpg,coleoptera,train,145.21,22.87,25.56,12.61,57.68,62.31,29.96,28.72,46.41,90.94,15.17,,,,,88.19,87.25,14.06,30.22,,,29.13,26.32,,,28.5,18.77
EB6.065.jpg,coleoptera,train,147.33,24.33,27.65,10.71,64.69,67.64,27.19,26.82,44.94,92.86,13.84,,,,,89.88,88.59,12.41,31.15,,,33.42,32.09,,,,29.79
EB6.068.jpg,coleoptera,train,147.58,22.76,24.28,10.2,,66.18,27.94,30.3,46.34,93.0,15.13,,,,,48.1,91.09,44.1,,,,30.48,32.55,,,,
EB6.06B.jpg,coleoptera,train,149.08,25.16,25.32,11.07,50.97,71.65,30.62,26.18,48.56,97.58,17.31,,,,,93.29,92.18,14.2,33.06,,,33.07,28.37,,,29.35,31.6
EB6.06D.jpg,coleoptera,train,154.45,26.66,24.92,12.83,65.38,69.25,33.68,31.05,51.12,98.48,19.48,,,,,96.71,95.99,16.43,33.48,,,35.77,24.65,,,33.4,18.86
EB6.06E.jpg,coleoptera,train,141.35,22.32,24.42,11.47,62.98,64.24,27.63,26.59,44.64,90.33,17.42,,,,,89.4,89.81,13.33,29.47,,,31.98,32.13,,,,30.87
EB6.06G.jpg,coleoptera,train,183.93,31.22,30.0,15.57,66.32,78.98,39.85,34.82,60.41,119.11,20.29,,,,,113.91,112.98,15.76,40.99,,,43.18,38.43,,,44.35,22.26
EB6.06J.jpg,coleoptera,train,168.9,24.52,27.11,13.18,71.45,75.98,31.9,30.97,52.66,110.81,19.21,,,,,104.29,105.42,13.61,36.91,,,42.3,33.14,,,28.98,22.78
EB6.06M.jpg,coleoptera,train,176.84,27.34,29.41,14.62,71.54,79.07,34.67,31.46,58.72,115.97,22.29,,,,,110.93,109.39,14.62,43.04,,,,,,,35.55,37.28
EB6.06N.jpg,coleoptera,train,162.18,25.24,26.23,12.09,66.52,80.69,28.12,30.53,46.94,105.42,20.25,,,,,101.58,103.0,13.46,31.27,,,40.7,34.99,,,43.19,34.22
EB6.06S.jpg,coleoptera,train,155.11,25.89,25.82,10.15,57.26,61.06,32.14,31.95,47.35,97.34,17.76,,,,,96.89,96.5,14.28,31.34,,,36.66,29.76,,,36.59,32.89
EB6.06U.jpg,coleoptera,train,,24.6,26.81,11.22,67.55,61.46,30.23,28.9,49.46,,16.32,,,,,93.2,99.69,13.43,33.87,,,35.73,33.15,,,37.08,31.74
EB6.06Z.jpg,coleoptera,train,148.46,25.3,30.75,11.5,58.53,71.21,34.02,23.36,49.16,94.34,16.89,,,,,90.07,92.03,12.9,35.1,,,27.66,26.49,,,31.49,30.17
EB6.073.jpg,coleoptera,train,150.49,22.61,28.7,10.19,59.76,66.67,30.46,28.42,41.85,93.36,15.56,,,,,88.06,88.25,11.31,22.21,,,,,,,24.42,26.23
EB6.074.jpg,coleoptera,train,167.62,29.21,27.79,16.51,67.94,76.2,37.82,30.67,52.14,109.16,17.52,,,,,104.59,103.63,13.86,30.63,,,39.3,25.66,,,33.45,30.71
EB6.078.jpg,coleoptera,train,74.71,14.7,9.75,5.08,24.07,32.13,18.47,17.53,26.12,47.43,10.38,,,,,45.5,45.53,7.56,17.1,,,17.34,13.46,,,,
EB6.079.jpg,coleoptera,train,78.36,15.77,12.07,7.17,24.93,31.45,19.86,15.64,26.73,50.65,11.12,,,,,45.57,23.84,8.49,24.19,,,,,,,,14.8
EB6.07C.jpg,coleoptera,train,86.31,15.22,18.52,8.26,32.64,36.47,20.11,16.77,28.42,51.02,8.62,,,,,46.89,46.93,7.1,18.85,,,18.17,13.69,,,12.24,16.31
EB6.07K.jpg,coleoptera,train,89.55,18.04,16.1,8.13,26.99,39.99,20.28,17.74,27.9,55.71,11.01,,,,,52.02,52.7,9.53,17.91,,,17.28,17.2,,,20.87,20.17
EB6.07M.jpg,coleoptera,train,88.61,17.8,14.79,10.44,33.67,34.82,20.39,19.02,27.28,54.79,8.31,,,,,52.54,52.24,8.78,17.31,,,20.52,20.62,,,17.7,19.86
EB6.07N.jpg,coleoptera,train,87.98,18.52,18.1,9.5,31.32,32.82,19.48,18.13,28.69,51.74,7.33,,,,,50.71,51.79,7.77,19.24,,,19.91,17.27,,,,
EB6.07O.jpg,coleoptera,train,88.89,15.24,10.24,7.62,31.37,36.53,19.38,24.2,28.47,54.46,9.78,,,,,51.87,52.55,7.98,17.96,,,25.52,14.88,,,,17.05
EB6.07S.jpg,coleoptera,train,80.69,16.4,13.11,5.89,30.72,36.19,18.39,19.63,24.62,47.95,8.06,,,,,46.48,47.49,9.3,14.52,,,18.91,20.02,,,20.11,18.34
EB6.07U.jpg,coleoptera,train,100.82,18.44,17.69,11.27,31.04,37.8,18.59,23.0,32.04,60.12,13.46,,,,,57.82,56.96,8.85,22.26,,,22.66,18.01,,,,22.67
EB6.07W.jpg,coleoptera,train,104.44,19.46,21.3,8.98,39.59,38.52,22.3,18.34,32.59,64.8,10.57,,,,,63.88,63.26,9.49,20.72,,,23.12,25.0,,,,18.82
EB6.07Y.jpg,coleoptera,train,98.98,21.63,17.89,9.25,38.56,31.16,22.47,20.98,34.14,60.12,12.58,,,,,60.18,58.83,10.57,21.82,,,21.77,21.78,,,20.39,19.22
EB6.07Z.jpg,coleoptera,train,99.53,20.24,18.68,10.97,33.45,42.54,24.35,22.73,31.41,58.12,10.57,,,,,57.22,56.21,8.91,20.02,,,,,,,18.57,22.46
EB6.080.jpg,coleoptera,train,96.71,20.24,18.9,6.64,31.76,43.02,19.79,18.61,32.71,59.2,8.77,,,,,57.38,57.43,8.78,21.13,,,20.26,17.82,,,15.66,22.77
EB6.083.jpg,coleoptera,train,100.01,18.3,13.57,9.83,28.17,45.71,20.63,24.53,31.77,61.9,13.52,,,,,60.52,60.99,9.73,21.11,,,23.87,19.04,,,21.88,21.44
EB6.086.jpg,coleoptera,train,99.73,19.09,17.73,8.71,30.43,43.42,18.64,21.23,33.09,60.77,15.16,,,,,59.07,56.4,12.08,18.52,,,23.34,20.63,,,,
EB6.087.jpg,coleoptera,train,103.1,23.14,13.8,10.13,44.88,40.24,22.72,23.06,36.87,66.24,13.46,,,,,63.69,31.13,9.82,36.99,,,25.1,21.59,,,,22.16
EB6.089.jpg,coleoptera,train,99.53,20.47,17.89,11.81,28.28,41.82,22.18,22.12,30.29,59.51,13.75,,,,,56.75,55.64,9.26,19.64,,,24.28,19.74,,,,24.09
