image_name,length [px],value [mm],scale_value,insect_group,split,total length [px],head width [px],head length [px],inter ocular distance [px],right antenna length [px],left antenna length [px],thorax width [px],thorax length [px],abdomen width [px],abdomen length [px],intertegular distance [px],left hind wing length [px],right hind wing length [px],left hind wing width [px],right hind wing width [px],left fore wing length [px],right fore wing length [px],left fore wing width [px],right fore wing width [px],left hind leg length [px],left hind leg femur length [px],left hind leg tibia length [px],left hind leg tarsus length [px],right hind leg length [px],right hind leg femur length [px],right hind leg tibia length [px],right hind leg tarsus length [px],total length [mm],head width [mm],head length [mm],inter ocular distance [mm],right antenna length [mm],left antenna length [mm],thorax width [mm],thorax length [mm],abdomen width [mm],abdomen length [mm],intertegular distance [mm],left hind wing length [mm],right hind wing length [mm],left hind wing width [mm],right hind wing width [mm],left fore wing length [mm],right fore wing length [mm],left fore wing width [mm],right fore wing width [mm],left hind leg length [mm],left hind leg femur length [mm],left hind leg tibia length [mm],left hind leg tarsus length [mm],right hind leg length [mm],right hind leg femur length [mm],right hind leg tibia length [mm],right hind leg tarsus length [mm]
GJ.6276.jpg,616,2,308,diptera,test,3491.49,1004.87,434.92,195.62,,,880.31,1261.4,799.23,1795.17,957.5,,,,,2489.98,2404.37,685.23,756.49,,,,,,,,,11.3360064935065,3.26256493506494,1.41207792207792,0.63512987012987,0,0,2.85814935064935,4.09545454545455,2.5949025974026,5.82847402597403,3.10876623376623,0,0,0,0,8.08435064935065,7.8063961038961,2.22477272727273,2.45613636363636,0,0,0,0,0,0,0,0
GJ.6812.jpg,740,2,370,diptera,test,2629.22,885.35,343,,125.7,76.46,730.56,1135.46,829.91,1150.76,799.59,,,,,2449.44,2615.19,498.42,717.62,,,,,,,,,7.106,2.39283783783784,0.927027027027027,0,0.33972972972973,0.206648648648649,1.97448648648649,3.06881081081081,2.243,3.11016216216216,2.16105405405405,0,0,0,0,6.62010810810811,7.06808108108108,1.34708108108108,1.93951351351351,0,0,0,0,0,0,0,0
GJ.6851.jpg,752,2,376,diptera,test,2560.43,857.44,349.25,1.57,,,789.88,1174.02,870.29,1037.16,896.92,,,,,1523.74,2092.42,776.67,351.26,,,,,,,,,6.80965425531915,2.28042553191489,0.928856382978723,0.00417553191489362,0,0,2.10074468085106,3.12239361702128,2.31460106382979,2.75840425531915,2.38542553191489,0,0,0,0,4.0525,5.56494680851064,2.06561170212766,0.934202127659574,0,0,0,0,0,0,0,0
GV.37459.jpg,540,2,270,diptera,test,1919.62,617.09,274.33,153.6,100.44,114.63,513.83,805.38,691.33,839.9,505.74,,,,,1812.69,1801.64,554.69,590.09,,,419.87,386.84,,,373.16,317.36,7.1097037037037,2.28551851851852,1.01603703703704,0.568888888888889,0.372,0.424555555555556,1.90307407407407,2.98288888888889,2.56048148148148,3.11074074074074,1.87311111111111,0,0,0,0,6.71366666666667,6.67274074074074,2.05440740740741,2.18551851851852,0,0,1.55507407407407,1.43274074074074,0,0,1.38207407407407,1.17540740740741
GAVK.JKA13-4015.jpg,470,2,235,diptera,test,2793.49,912.51,510.66,4.22,372.3,335.63,816.14,1126.12,944.98,1156.72,847.72,,,,,2406.33,2457.18,596.4,623.16,,,,,,,,,11.8871914893617,3.88302127659575,2.17302127659575,0.0179574468085106,1.58425531914894,1.42821276595745,3.47293617021277,4.792,4.0211914893617,4.92221276595745,3.60731914893617,0,0,0,0,10.2397021276596,10.456085106383,2.53787234042553,2.65174468085106,0,0,0,0,0,0,0,0
GV.42970.jpg,830,2,415,diptera,val,2633.9,866.35,388.94,213.26,161.53,123.65,687.39,1068.99,677,1175.97,652.84,,,,,2268.28,2294.3,679.72,564.82,,,,,,,,,6.34674698795181,2.08759036144578,0.937204819277108,0.513879518072289,0.389228915662651,0.297951807228916,1.65636144578313,2.57587951807229,1.63132530120482,2.83366265060241,1.57310843373494,0,0,0,0,5.46573493975904,5.52843373493976,1.63787951807229,1.36101204819277,0,0,0,0,0,0,0,0
Melitta_iberica_M_001.jpg,135,1,135,hymenoptera,val,1539.25,418.55,278.22,267.78,465.6,438.5,489.8,526.65,471.96,734.38,471.72,716.82,816.85,117.73,182.06,995.73,989.12,325.54,345.09,,,317.41,278.88,,,302.66,280.91,11.4018518518519,3.10037037037037,2.06088888888889,1.98355555555556,3.44888888888889,3.24814814814815,3.62814814814815,3.90111111111111,3.496,5.43985185185185,3.49422222222222,5.30977777777778,6.05074074074074,0.872074074074074,1.34859259259259,7.37577777777778,7.32681481481481,2.41140740740741,2.55622222222222,0,0,2.35118518518519,2.06577777777778,0,0,2.24192592592593,2.08081481481482
Melitta_aegyptiaca_F_001.jpg,1200,5,240,hymenoptera,val,3317.49,1053.28,626.26,667.58,746.37,608.8,1225.14,1190.87,1211.38,1500.37,1114.87,,,,,2175.89,2244.14,320.8,267.69,,,525.9,722.06,,,495.54,721.27,13.822875,4.38866666666667,2.60941666666667,2.78158333333333,3.109875,2.53666666666667,5.10475,4.96195833333333,5.04741666666667,6.25154166666667,4.64529166666667,0,0,0,0,9.06620833333333,9.35058333333333,1.33666666666667,1.115375,0,0,2.19125,3.00858333333333,0,0,2.06475,3.00529166666667
Colletes_dimidiatus_F_001.jpg,1300,5,260,hymenoptera,val,3515.49,1053.41,447.45,624.19,866.29,674.46,1071.89,1280.82,1225.02,1787.22,992.51,1931.39,1994.35,495.89,370.73,2531.63,1927,761.76,753.15,,,,,,,692.37,,13.5211153846154,4.05157692307692,1.72096153846154,2.40073076923077,3.33188461538462,2.59407692307692,4.12265384615385,4.92623076923077,4.71161538461539,6.87392307692308,3.81734615384615,7.42842307692308,7.67057692307692,1.90726923076923,1.42588461538462,9.73703846153846,7.41153846153846,2.92984615384615,2.89673076923077,0,0,0,0,0,0,2.66296153846154,0
Andrena_blanda_F_001.jpg,1712,5,342,hymenoptera,val,3048.53,1023.46,377.52,704.39,622.6,834.83,743.99,1109.4,1070.31,1561.61,709.59,1393.63,1755.12,,,2161.76,2374.98,306.31,292.5,,,786.75,774.85,,,,844.42,8.91383040935673,2.9925730994152,1.10385964912281,2.05961988304094,1.82046783625731,2.44102339181287,2.17540935672515,3.24385964912281,3.12956140350877,4.56611111111111,2.07482456140351,4.07494152046784,5.1319298245614,0,0,6.32093567251462,6.94438596491228,0.895643274853801,0.855263157894737,0,0,2.30043859649123,2.2656432748538,0,0,0,2.46906432748538
Ammobates_punctatus_F_001.jpg,1875,5,375,hymenoptera,val,2604.89,803.67,668.35,517.38,321.81,663.4,1003.88,831.69,944.06,1104.85,568.04,,,,,1985.62,2022.55,,,,,,,,,361.06,,6.94637333333333,2.14312,1.78226666666667,1.37968,0.85816,1.76906666666667,2.67701333333333,2.21784,2.51749333333333,2.94626666666667,1.51477333333333,0,0,0,0,5.29498666666667,5.39346666666667,0,0,0,0,0,0,0,0,0.962826666666667,0
Colletes_fodiens_F_001.jpg,1230,5,246,hymenoptera,val,2516.37,887.95,200.8,507.71,533.91,636.65,942.5,989.34,886.6,1326.22,737.09,1248.48,1257.55,173.36,281.88,1601.79,1669.2,101.6,229.87,,,547.75,467.71,1684.43,394.68,581.95,707.79,10.2291463414634,3.60955284552846,0.816260162601626,2.06386178861789,2.17036585365854,2.5880081300813,3.83130081300813,4.02170731707317,3.60406504065041,5.39113821138211,2.99630081300813,5.07512195121951,5.1119918699187,0.704715447154472,1.14585365853659,6.51134146341463,6.78536585365854,0.413008130081301,0.934430894308943,0,0,2.22662601626016,1.90126016260163,6.84727642276423,1.60439024390244,2.36565040650407,2.87719512195122
Dufourea_styx_m_001.jpg,2832,5,566,hymenoptera,val,3719.41,800.19,758.53,517.78,1378.42,1558.93,997.86,1197.51,1052.93,1763.38,701.97,1830.54,1689.75,454.68,259.06,2191.31,2103.11,194.78,250.5,,,587.54,695.37,,,,,6.57139575971731,1.41376325088339,1.34015901060071,0.914805653710247,2.43537102473498,2.75429328621908,1.7630035335689,2.11574204946996,1.86030035335689,3.11551236749117,1.2402296819788,3.23416961130742,2.98542402826855,0.803321554770318,0.457703180212014,3.87157243816254,3.71574204946996,0.344134275618375,0.442579505300353,0,0,1.03805653710247,1.22856890459364,0,0,0,0
Halictus_fatsensis_F_001.jpg,1400,5,280,hymenoptera,val,2985.16,820.9,740.28,545.76,587.49,641.76,873.29,973.66,928.01,1271.21,593.3,1617.27,1511.07,406.66,299.53,2271.61,2150.91,303.16,,,,,,,,504.54,659.58,10.6612857142857,2.93178571428571,2.64385714285714,1.94914285714286,2.09817857142857,2.292,3.11889285714286,3.47735714285714,3.31432142857143,4.54003571428572,2.11892857142857,5.77596428571429,5.39667857142857,1.45235714285714,1.06975,8.11289285714286,7.68182142857143,1.08271428571429,0,0,0,0,0,0,0,1.80192857142857,2.35564285714286
Dasypoda_braccata_M_001.jpg,390,5,78,hymenoptera,val,1167.27,257.65,85.33,129.61,247.36,278.9,340.85,428.21,295.59,653.72,251.95,640.45,652.93,174.91,185.7,819.41,832.45,204.61,224.15,822.23,167.11,203.74,451.39,905.37,207.81,277.43,420.13,14.965,3.30320512820513,1.09397435897436,1.66166666666667,3.17128205128205,3.57564102564103,4.3698717948718,5.4898717948718,3.78961538461538,8.38102564102564,3.23012820512821,8.21089743589744,8.37089743589744,2.2424358974359,2.38076923076923,10.5052564102564,10.6724358974359,2.62320512820513,2.87371794871795,10.5414102564103,2.1424358974359,2.61205128205128,5.78705128205128,11.6073076923077,2.66423076923077,3.55679487179487,5.38628205128205
Macropis_europaea_F_001.jpg,540,5,108,hymenoptera,val,844.36,341.16,75.32,214.83,312.29,316.34,377.81,377.86,383.87,391.19,400.14,604.5,529.09,136.6,116.89,638.43,702.98,230.28,286,,,279.63,286.75,,,263.06,275.58,7.81814814814815,3.15888888888889,0.697407407407407,1.98916666666667,2.89157407407407,2.92907407407407,3.49824074074074,3.4987037037037,3.55435185185185,3.62212962962963,3.705,5.59722222222222,4.89898148148148,1.26481481481481,1.08231481481481,5.91138888888889,6.50907407407407,2.13222222222222,2.64814814814815,0,0,2.58916666666667,2.65509259259259,0,0,2.43574074074074,2.55166666666667
EA1.0VD.jpg,1400,30,46,lepidoptera,val,568.93,110.22,59.77,80.65,280.07,349.12,253.03,255.75,180.91,253.41,252.94,,,383.33,341.71,638.81,634.82,289.69,281.33,,,,,,,,,12.3680434782609,2.39608695652174,1.29934782608696,1.75326086956522,6.08847826086957,7.5895652173913,5.50065217391304,5.55978260869565,3.93282608695652,5.50891304347826,5.49869565217391,0,0,8.33326086956522,7.42847826086957,13.8871739130435,13.8004347826087,6.29760869565217,6.11586956521739,0,0,0,0,0,0,0,0
EA5.0XF.jpg,1432,40,35,lepidoptera,val,527.95,91.77,33.22,56.49,298.36,241.72,169.8,166.95,124.53,327.78,185.5,413.19,402.69,320.26,301.55,543.89,548.27,245.07,244.96,,,,,,,,,15.0842857142857,2.622,0.949142857142857,1.614,8.52457142857143,6.90628571428572,4.85142857142857,4.77,3.558,9.36514285714286,5.3,11.8054285714286,11.5054285714286,9.15028571428571,8.61571428571429,15.5397142857143,15.6648571428571,7.002,6.99885714285714,0,0,0,0,0,0,0,0
F.38652.jpg,7000,65,107,lepidoptera,val,964.05,160.32,80.23,,,,253.62,351.02,278.39,532.8,363.28,842.4,813.62,396.24,356.34,1057.57,704.33,428.05,488.64,,,,,,,,,9.00981308411215,1.49831775700935,0.74981308411215,0,0,0,2.37028037383178,3.28056074766355,2.60177570093458,4.97943925233645,3.39514018691589,7.87289719626168,7.60392523364486,3.70317757009346,3.33028037383178,9.88383177570093,6.58252336448598,4.00046728971963,4.56672897196262,0,0,0,0,0,0,0,0
EB1.02V.jpg,1532,24,63,lepidoptera,val,423.86,56.08,34.27,38.02,263.64,249.68,94.59,145.56,67.44,244.03,69.87,442.97,446.29,341.88,340.9,560.39,550.32,317.62,335.04,,,,,,,,,6.72793650793651,0.89015873015873,0.543968253968254,0.603492063492064,4.1847619047619,3.9631746031746,1.50142857142857,2.31047619047619,1.07047619047619,3.87349206349206,1.10904761904762,7.03126984126984,7.08396825396825,5.42666666666667,5.41111111111111,8.89507936507937,8.7352380952381,5.0415873015873,5.31809523809524,0,0,0,0,0,0,0,0
EA3.10Q.jpg,1585,72,22,lepidoptera,val,608.04,97.82,42.71,61.88,367.66,,194,219.11,149.69,346.22,192.79,512.22,501.39,437.79,462.66,656.39,659.99,281.34,278.24,,,,,,,,,27.6381818181818,4.44636363636364,1.94136363636364,2.81272727272727,16.7118181818182,0,8.81818181818182,9.95954545454546,6.80409090909091,15.7372727272727,8.76318181818182,23.2827272727273,22.7904545454545,19.8995454545455,21.03,29.8359090909091,29.9995454545455,12.7881818181818,12.6472727272727,0,0,0,0,0,0,0,0
EA6.17V.jpg,1020,37,27,lepidoptera,val,435.16,62.39,65.67,24.25,305.33,300.63,100.95,143.06,58.79,226.44,68.27,495.57,503,377.96,406.94,583.74,572.92,363.13,358.25,,,,,,,,,16.117037037037,2.31074074074074,2.43222222222222,0.898148148148148,11.3085185185185,11.1344444444444,3.73888888888889,5.29851851851852,2.17740740740741,8.38666666666667,2.52851851851852,18.3544444444444,18.6296296296296,13.9985185185185,15.0718518518519,21.62,21.2192592592593,13.4492592592593,13.2685185185185,0,0,0,0,0,0,0,0
F.39189.jpg,6930,74,93,lepidoptera,val,,,54.76,,859.72,1333.56,611.28,639.79,,,590.45,1459.79,1302.06,1240.23,1142.63,1965.7,1757.63,896.43,913.82,,,,,,,,,0,0,0.588817204301075,0,9.24430107526882,14.3393548387097,6.57290322580645,6.8794623655914,0,0,6.3489247311828,15.6966666666667,14.0006451612903,13.3358064516129,12.2863440860215,21.1365591397849,18.899247311828,9.63903225806452,9.82602150537634,0,0,0,0,0,0,0,0
F.131909.jpg,7272,62,117,lepidoptera,val,1827.44,273.07,142.56,,781.69,988.45,731.93,746.78,408.07,938.1,639.15,1393.46,1309.65,990.21,932.75,1921.37,1927.41,934.45,898.88,,,,,,,,,15.6191452991453,2.33393162393162,1.21846153846154,0,6.68111111111111,8.4482905982906,6.25581196581197,6.38273504273504,3.48777777777778,8.01794871794872,5.46282051282051,11.9099145299145,11.1935897435897,8.46333333333333,7.97222222222222,16.4219658119658,16.4735897435897,7.98675213675214,7.68273504273504,0,0,0,0,0,0,0,0
F.3540.jpg,7014,45,155,lepidoptera,val,1121.7,196.71,101.16,134.67,699.61,427.01,332.08,314.04,276.34,706.5,309.92,1237.49,1153.2,732.94,691.39,1361.44,1349.28,417.63,428,,,,,,,,,7.23677419354839,1.26909677419355,0.652645161290323,0.868838709677419,4.51361290322581,2.75490322580645,2.14245161290323,2.02606451612903,1.78283870967742,4.55806451612903,1.99948387096774,7.9838064516129,7.44,4.72864516129032,4.46058064516129,8.78348387096774,8.70503225806452,2.69438709677419,2.76129032258065,0,0,0,0,0,0,0,0
EA3.0JH.jpg,1550,28,55,lepidoptera,val,431.3,69.98,24.51,29.86,235.14,202.72,111.29,124.91,108.78,281.88,117.63,524.12,520.41,367.5,368.57,668.66,662.72,374.19,379.99,,,,,,,,,7.84181818181818,1.27236363636364,0.445636363636364,0.542909090909091,4.27527272727273,3.68581818181818,2.02345454545455,2.27109090909091,1.97781818181818,5.12509090909091,2.13872727272727,9.52945454545455,9.462,6.68181818181818,6.70127272727273,12.1574545454545,12.0494545454545,6.80345454545455,6.90890909090909,0,0,0,0,0,0,0,0
